set_key	rate_type	is_retention	property	tier	product	product_fee	initial_term	full_term	rate	max_ltv	revert_index	revert_margin	min_loan	max_loan	max_rolled_months	max_defer_int	min_icr	is_tracker	max_top_slicing	admin_fee	erc_1	erc_2	erc_3	erc_4	erc_5	status	floor_rate	proc_fee
RATES_SPEC	Specialist	No	Residential	1	5yr Fix	3%	36	120	2%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Residential	1	5yr Fix	2%	36	120	1%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	1	2yr Fix	2%	24	120	8.29%	70%	MVR	0.3	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3				Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	2	3yr Fix	2%	36	120	8.49%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	1	3yr Fix	2%	36	120	8.09%	70%	MVR	0.3	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	2	3yr Fix	2%	36	120	8.69%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	1	3yr Fix	2%	36	120	8.19%	70%	MVR	0.3	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	2	3yr Fix	4%	36	120	7.79%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	1	3yr Fix	4%	36	120	7.39%	70%	MVR	0.3	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	2	3yr Fix	4%	36	120	7.99%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Commercial	1	3yr Fix	4%	36	120	7.49%	70%	MVR	0.3	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Semi-Commercial	2	3yr Fix	6%	36	120	7.09%	70%	MVR	1.5	£150,000	£2,000,000	6	1.25	125%	No	20	250	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Residential	1	3yr Fix	2%	36	120	7.79%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
RATES_SPEC	Specialist	No	Residential	1	3yr Fix	3%	36	120	7.46%	75%	MVR		£150,000	£3,000,000	9	1.25	125%	No	20	199	4	3	2			Active		1%
